# x y nx ny
1.658779933110367644e+00 2.285728291287122182e+00 6.030156349545323646e-01 -7.977293676431764791e-01
1.672157190635451762e+00 2.295773254948211051e+00 5.978853786145140736e-01 -8.015816078472478567e-01
1.685534448160535437e+00 2.305684005345130849e+00 5.926805837077233630e-01 -8.054375988839064249e-01
1.698911705685618667e+00 2.315460542477880246e+00 5.874004671297667901e-01 -8.092964173995408350e-01
1.712288963210702342e+00 2.325102866346461461e+00 5.820442591303210955e-01 -8.131571068455563100e-01
1.725666220735786016e+00 2.334610976950872718e+00 5.766112046122988666e-01 -8.170186770910158325e-01
1.739043478260869469e+00 2.343984874291114906e+00 5.711005645472000403e-01 -8.208801040187717613e-01
1.752420735785953365e+00 2.353224558367188468e+00 5.655116174617106362e-01 -8.247403291435673189e-01
1.765797993311036596e+00 2.362330029179092072e+00 5.598436609428580901e-01 -8.285982592922206402e-01
1.779175250836120492e+00 2.371301286726826163e+00 5.540960131614484085e-01 -8.324527663468889171e-01
1.792552508361203945e+00 2.380138331010391184e+00 5.482680144942840839e-01 -8.363026869994473200e-01
1.805929765886287619e+00 2.388841162029787135e+00 5.423590291881279501e-01 -8.401468225602661821e-01
1.819307023411371294e+00 2.397409779785013573e+00 5.363684470094194356e-01 -8.439839388594451153e-01
1.832684280936454524e+00 2.405844184276070497e+00 5.302956850249064269e-01 -8.478127661482605104e-01
1.846061538461538420e+00 2.414144375502958795e+00 5.241401893586498106e-01 -8.516319991047064386e-01
1.859438795986622095e+00 2.422310353465677135e+00 5.179014370150482049e-01 -8.554402968867832469e-01
1.872816053511705769e+00 2.430342118164226406e+00 5.115789377350253853e-01 -8.592362832573489095e-01
1.886193311036789222e+00 2.438239669598606163e+00 5.051722358871352236e-01 -8.630185467814656120e-01
1.899570568561872896e+00 2.446003007768816850e+00 4.986809123876067562e-01 -8.667856411018032281e-01
1.912947826086956571e+00 2.453632132674858468e+00 4.921045866655250900e-01 -8.705360852846668607e-01
1.926325083612040245e+00 2.461127044316730128e+00 4.854429186101240079e-01 -8.742683642745427974e-01
1.939702341137123698e+00 2.468487742694432718e+00 4.786956106191317395e-01 -8.779809293908248380e-01
1.953079598662207372e+00 2.475714227807966239e+00 4.718624095624751047e-01 -8.816721989730056386e-01
1.966456856187291269e+00 2.482806499657330690e+00 4.649431088227490294e-01 -8.853405590834735328e-01
1.979834113712374499e+00 2.489764558242525183e+00 4.579375503587320706e-01 -8.889843643008822349e-01
1.993211371237458174e+00 2.496588403563550607e+00 4.508456267194766998e-01 -8.926019386422607838e-01
2.006588628762541848e+00 2.503256330605921676e+00 4.389062555121001630e-01 -8.985328590943946203e-01
2.019965886287625967e+00 2.509634136105468816e+00 4.216885704691657466e-01 -9.067407289493901734e-01
2.033343143812709197e+00 2.515698777321954349e+00 4.040023820353479955e-01 -9.147579326301383817e-01
2.046720401337792428e+00 2.521450254255377388e+00 3.858512652397714238e-01 -9.225610012963194606e-01
2.060097658862876102e+00 2.526888566905739264e+00 3.672407742532626251e-01 -9.301259128343130067e-01
2.073474916387959777e+00 2.532013715273039534e+00 3.481785594326439748e-01 -9.374282323204313760e-01
2.086852173913043451e+00 2.536825699357277752e+00 3.286744708594647180e-01 -9.444432710360378680e-01
2.100229431438127126e+00 2.541324519158454365e+00 3.087406455155569662e-01 -9.511462630987082001e-01
2.113606688963210800e+00 2.545510174676569815e+00 2.883915743174432778e-01 -9.575125585926831384e-01
2.126983946488294475e+00 2.549382665911623214e+00 2.676441463180544988e-01 -9.635178311487960778e-01
2.140361204013378593e+00 2.552941992863614562e+00 2.465176667792305099e-01 -9.691382976467931565e-01
2.153738461538461824e+00 2.556188155532544748e+00 2.250338462254428407e-01 -9.743509470683464624e-01
2.167115719063545054e+00 2.559121153918412439e+00 2.032167589312999234e-01 -9.791337747669915936e-01
2.180492976588628729e+00 2.561740988021218968e+00 1.810927683699932456e-01 -9.834660183474017714e-01
2.193870234113712847e+00 2.564047657840963890e+00 1.586904193887057612e-01 -9.873283905541441197e-01
2.207247491638796077e+00 2.566041163377646761e+00 1.360402963321731551e-01 -9.907033046143807198e-01
